"region","gt_value","date","date_obtained","term_topic","subdivision_name","subdivision_category","parent_subdivision"
"AT-4",0,2005-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-05-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-06-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-07-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-08-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-09-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-10-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",38,2005-11-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2005-12-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",33,2006-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-05-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-06-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2006-07-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",59,2006-08-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",23,2014-07-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",16,2014-08-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",38,2014-09-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",53,2014-10-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",36,2014-11-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",26,2014-12-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",37,2015-01-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",54,2015-02-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",44,2015-03-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",17,2015-04-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",10,2015-05-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",17,2015-06-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",21,2015-07-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",25,2015-08-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",23,2015-09-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",22,2015-10-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",16,2015-11-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",10,2015-12-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",18,2016-01-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",19,2016-02-01,2022-05-24,"meth","Upper Austria","state","AT"
"AT-4",79,2004-01-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-02-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",100,2004-03-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-04-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-05-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-06-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-07-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-08-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-09-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",26,2008-12-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",23,2009-01-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-02-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-03-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-04-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-05-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-06-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-07-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-08-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",0,2009-09-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",22,2009-10-01,2022-03-18,"meth","Upper Austria","state","AT"
"AT-4",22,2010-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-05-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-06-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-07-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",23,2010-08-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-09-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",20,2010-10-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-11-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",42,2010-12-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",35,2011-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",26,2011-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",10,2011-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2011-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",20,2011-05-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",16,2011-06-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",16,2011-07-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",11,2011-08-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",5,2011-09-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",23,2011-10-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",19,2011-11-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",19,2011-12-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",29,2012-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",27,2012-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",9,2012-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",32,2012-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",32,2012-05-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",14,2012-06-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",28,2012-09-01,2022-04-07,"meth","Upper Austria","state","AT"
"AT-4",21,2012-10-01,2022-04-07,"meth","Upper Austria","state","AT"
"AT-4",22,2009-10-01,2022-04-08,"meth","Upper Austria","state","AT"
"AT-4",0,2009-11-01,2022-04-08,"meth","Upper Austria","state","AT"
"AT-4",21,2012-11-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",38,2012-12-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",40,2013-01-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",57,2013-02-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",15,2013-03-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",27,2013-04-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",26,2008-12-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",23,2009-01-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-02-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-03-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-04-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-05-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-06-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-07-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2009-08-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",54,2014-10-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",37,2014-11-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",27,2014-12-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",38,2015-01-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",56,2015-02-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",45,2015-03-01,2022-07-04,"meth","Upper Austria","state","AT"
"AT-4",28,2014-07-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",17,2014-08-01,2022-04-10,"meth","Upper Austria","state","AT"
"AT-4",0,2010-05-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2010-06-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2010-07-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2010-08-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2010-09-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",20,2010-10-01,2022-07-19,"meth","Upper Austria","state","AT"
"AT-4",0,2004-10-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2004-11-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2004-12-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-01-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-02-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-03-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-04-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-05-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-06-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-07-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-08-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-09-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2005-10-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",38,2005-11-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2007-02-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",0,2005-08-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2005-09-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2005-10-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",38,2005-11-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2005-12-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",33,2006-01-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-02-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-03-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-04-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-05-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-06-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-07-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",59,2006-08-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-09-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-10-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",50,2006-11-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2006-12-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2007-01-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2007-02-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",23,2007-03-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2007-04-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2007-05-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",0,2007-06-01,2022-03-21,"meth","Upper Austria","state","AT"
"AT-4",55,2013-02-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",15,2013-03-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",24,2013-04-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",40,2013-05-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",20,2013-06-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",18,2013-07-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",30,2013-08-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",41,2013-09-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",54,2013-10-01,2022-05-15,"meth","Upper Austria","state","AT"
"AT-4",57,2008-08-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2008-09-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",21,2008-10-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2008-11-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",26,2008-12-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",23,2009-01-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2009-02-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2007-01-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",0,2007-02-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",23,2007-03-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",0,2009-06-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2009-07-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2009-08-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2009-09-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",21,2008-10-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2008-11-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",26,2008-12-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",23,2009-01-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-02-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-03-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-04-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-05-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-06-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2009-07-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",0,2010-07-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2010-08-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2010-09-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",20,2010-10-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2010-11-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",43,2010-12-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",25,2011-01-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",27,2011-02-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",10,2011-03-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2004-10-01,2022-05-08,"meth","Upper Austria","state","AT"
"AT-4",0,2004-11-01,2022-05-08,"meth","Upper Austria","state","AT"
"AT-4",0,2009-07-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",0,2005-02-01,2022-05-08,"meth","Upper Austria","state","AT"
"AT-4",0,2005-03-01,2022-05-08,"meth","Upper Austria","state","AT"
"AT-4",0,2007-10-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2007-11-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2007-12-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-01-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-02-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-03-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-04-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-05-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-06-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",0,2008-07-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",57,2008-08-01,2022-06-19,"meth","Upper Austria","state","AT"
"AT-4",20,2010-10-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",0,2010-11-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",42,2010-12-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",35,2011-01-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",26,2011-02-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",10,2011-03-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",0,2011-04-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",21,2011-05-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",16,2011-06-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",16,2011-07-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",11,2011-08-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",5,2011-09-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",23,2011-10-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",19,2011-11-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",29,2011-12-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",29,2012-01-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",31,2012-02-01,2022-03-22,"meth","Upper Austria","state","AT"
"AT-4",44,2013-01-01,2022-04-14,"meth","Upper Austria","state","AT"
"AT-4",17,2015-06-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",22,2015-07-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",26,2015-08-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",27,2015-09-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",23,2015-10-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",19,2015-11-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",14,2015-12-01,2022-07-02,"meth","Upper Austria","state","AT"
"AT-4",57,2013-02-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",15,2013-03-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",21,2015-04-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",7,2015-05-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",18,2015-06-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",22,2015-07-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",26,2015-08-01,2022-04-09,"meth","Upper Austria","state","AT"
"AT-4",0,2008-09-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",21,2008-10-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",0,2008-11-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",26,2008-12-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",23,2009-01-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",0,2009-02-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",0,2009-03-01,2022-07-28,"meth","Upper Austria","state","AT"
"AT-4",26,2014-06-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",28,2014-07-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",13,2014-08-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",39,2014-09-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",54,2014-10-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",37,2014-11-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",27,2014-12-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",32,2015-01-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",56,2015-02-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",45,2015-03-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",21,2015-04-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",10,2015-05-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",17,2015-06-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",22,2015-07-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",26,2015-08-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",27,2015-09-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",20,2015-10-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",16,2015-11-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",14,2015-12-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",18,2016-01-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",22,2016-02-01,2022-04-06,"meth","Upper Austria","state","AT"
"AT-4",0,2004-10-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2004-11-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2004-12-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-01-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-02-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-03-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-04-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-05-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-06-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-07-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-08-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-09-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-10-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",38,2005-11-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2005-12-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",33,2006-01-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-02-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-03-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-04-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-05-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-06-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-07-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",59,2006-08-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-09-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-10-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",50,2006-11-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2006-12-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2007-01-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2007-02-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",23,2007-03-01,2022-06-29,"meth","Upper Austria","state","AT"
"AT-4",0,2007-04-01,2022-06-29,"meth","Upper Austria","state","AT"
